nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
1627884,Derrick Jones Jr.,Derrick,Jones Jr.,2026,2025-26,LAC,LAC,SF,50,1350,27,26.99,0.007,-0.781,0.788,2.086,Stationary Shooter,Point of Attack,42,40,0.512,false,1,derrick jones jr,exact_name,Derrick Jones Jr.,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
1627936,Alex Caruso,Alex,Caruso,2026,2025-26,OKC,OKC,SG,56,1020,18.214,18.216,2.297,0.166,2.132,3.035,Stationary Shooter,Wing Stopper,64,18,0.78,false,1,alex caruso,exact_name,Alex Caruso,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/OKC/2026.html
1628366,Lonzo Ball,Lonzo,Ball,2026,2025-26,CLE,CLE,PG,35,728,20.8,20.789,-0.418,-0.976,0.558,0.931,Movement Shooter,Chaser,52,30,0.634,false,1,lonzo ball,exact_name,Lonzo Ball,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CLE/2026.html
1628368,De'Aaron Fox,De'Aaron,Fox,2026,2025-26,SAS,SAS,PG,72,2231,30.986,30.986,1.7,1.478,0.222,5.812,Shot Creator,Point of Attack,62,20,0.756,false,1,de aaron fox,exact_name,De'Aaron Fox,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAS/2026.html
1628369,Jayson Tatum,Jayson,Tatum,2026,2025-26,BOS,BOS,PF,16,522,32.625,32.612,3.887,3.047,0.841,2.055,Shot Creator,Wing Stopper,56,26,0.683,false,1,jayson tatum,exact_name,Jayson Tatum,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/BOS/2026.html
1628370,Malik Monk,Malik,Monk,2026,2025-26,SAC,SAC,SG,62,1364,22,21.993,-1.96,-0.028,-1.932,0.432,Secondary Ball Handler,Low Activity,22,60,0.268,false,1,malik monk,exact_name,Malik Monk,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/SAC/2026.html
1628371,Jonathan Isaac,Jonathan,Isaac,2026,2025-26,ORL,ORL,PF,52,521,10.019,10.013,0.169,-1.414,1.583,0.858,Stretch Big,Helper,45,37,0.549,false,1,jonathan isaac,exact_name,Jonathan Isaac,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/ORL/2026.html
1628374,Lauri Markkanen,Lauri,Markkanen,2026,2025-26,UTA,UTA,PF,42,1443,34.357,34.346,2.234,2.327,-0.094,4.234,Off Screen Shooter,Wing Stopper,22,60,0.268,false,1,lauri markkanen,exact_name,Lauri Markkanen,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/UTA/2026.html
1628378,Donovan Mitchell,Donovan,Mitchell,2026,2025-26,CLE,CLE,SG,70,2342,33.457,33.456,3.426,3.7,-0.274,8.578,Shot Creator,Helper,52,30,0.634,false,1,donovan mitchell,exact_name,Donovan Mitchell,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CLE/2026.html
1628379,Luke Kennard,Luke,Kennard,2026,2025-26,ATL,ATL/LAL,SG,46,944,20.522,21.541,-2.908,-1.122,-1.786,-0.446,Off Screen Shooter,Chaser,46,36,0.561,true,2,luke kennard,exact_name,Luke Kennard,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/ATL/2026.html
